name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
hornsea,2024-04-06T00:00:00,53.7,53.7,51.1,90.92,0.016,100,rain,0,0,15.4,7.9,176,1003.1,100,3.3,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T01:00:00,53.1,53.1,51.1,92.79,0.028,100,rain,0,0,12.9,8.3,155,1003.1,99.3,5.4,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T02:00:00,52.9,52.9,51,93.24,0.037,100,rain,0,0,16.6,11,150,1002.3,91.6,4.5,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T03:00:00,52.8,52.8,51,93.53,0.038,100,rain,0,0,16,9.2,152,1001.4,100,3.3,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T04:00:00,52.7,52.7,51,93.99,0.04,100,rain,0,0,16.3,9.9,152,1001.1,100,3.9,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T05:00:00,53,53,51.2,93.73,0.022,100,rain,0,0,15.9,10.8,152,1000.1,94,8.7,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T06:00:00,54.2,54.2,51.4,90.12,0.001,100,rain,0,0,16.8,9.5,143,999,94,9.3,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T07:00:00,53.2,53.2,51.2,93.13,0,0,,0,0,14.8,9.3,132,998.1,94,9.5,18,0.1,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T08:00:00,54.5,54.5,52.4,92.43,0,0,,0,0,14.4,8.1,127,996.5,91.3,10,107,0.4,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T09:00:00,59.1,59.1,51.5,75.84,0,0,,0,0,25.6,14.1,161,995.5,90.7,13.9,432,1.6,4,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T10:00:00,62.3,62.3,51.9,68.6,0,0,,0,0,27.8,15.1,177,995.2,0,13.9,311,1.1,3,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T11:00:00,62.7,62.7,51.9,67.7,0,0,,0,0,25.7,15.4,177,994.4,38,13.9,221,0.8,2,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T12:00:00,63.3,63.3,51.8,66.16,0,0,,0,0,21.3,13.7,179,994.2,2.6,12.9,230,0.8,2,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T13:00:00,64.1,64.1,51.6,63.84,0,0,,0,0,24.6,14.9,185,994.3,1.8,13.9,178,0.6,2,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T14:00:00,65.1,65.1,52,62.45,0,0,,0,0,28.9,17.9,191,994,39.8,12,570,2.1,6,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T15:00:00,65.7,65.7,49.8,56.44,0,0,,0,0,38.5,24.3,208,994.1,90.2,12.9,350,1.3,4,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T16:00:00,66.2,66.2,46.5,48.91,0,0,,0,0,41,25.6,220,994.3,13.2,12.9,585,2.1,6,,Clear,clear-day,"03292099999,EGXV,D2851,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T17:00:00,64.7,64.7,46.3,51.35,0,0,,0,0,38.7,25.2,210,995,26.5,12,277,1,3,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D2851,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T18:00:00,62.8,62.8,45.2,52.52,0,0,,0,0,40,25.6,209,995.3,15.6,11,72,0.3,1,,Clear,clear-day,"03292099999,EGXV,D2851,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T19:00:00,60.7,60.7,45.1,56.39,0,0,,0,0,32.3,21.4,200,995.1,2.6,12,39,0.1,0,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T20:00:00,59.9,59.9,46.7,61.62,0,0,,0,0,34.2,20.9,198,995.3,1.8,10,0,0,0,,Clear,clear-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T21:00:00,58.3,58.3,46.8,65.53,0,0,,0,0,31.9,20.4,190,995.4,1.8,10,0,0,0,,Clear,clear-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-06T22:00:00,57,57,46.8,68.78,0,0,,0,0,29.8,18,182,995.1,2.6,10.3,0,0,0,,Clear,clear-night,"03292099999,EGXV,03396199999,D8791,03384099999,03382099999,03281099999"
hornsea,2024-04-06T23:00:00,56.9,56.9,47.9,72.03,0.004,100,rain,0,0,29.9,18.3,189,994.4,99.3,11,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T00:00:00,52.5,52.5,47.9,84.24,0.048,100,rain,0,0,34.5,25.5,221,995.1,100,2.2,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T01:00:00,51.7,51.7,48,86.98,0.076,100,rain,0,0,25.7,17.3,219,996.1,43.3,17.7,0,0,0,,"Rain, Partially cloudy",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T02:00:00,51.4,51.4,44.7,77.64,0,0,,0,0,23.3,16,212,996.4,1.8,14.8,0,0,0,,Clear,clear-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T03:00:00,51.6,51.6,44.3,75.88,0.001,100,rain,0,0,31.6,19.6,202,997.2,83.5,12,0,0,0,,"Rain, Partially cloudy",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T04:00:00,50,43.5,41.5,72.52,0.001,100,rain,0,0,29.9,20.2,210,998.2,37.3,16.7,0,0,0,,"Rain, Partially cloudy",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T05:00:00,49.6,43.3,41.3,73.12,0,0,,0,0,29.2,18.7,210,999.2,54.8,12.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T06:00:00,48.4,42.4,41,75.56,0,0,,0,0,27.1,15.8,201,999.2,0,11,0,0,0,,Clear,clear-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T07:00:00,49.5,43.8,41.5,73.87,0,0,,0,0,25.7,15.6,199,999.4,3.7,9.7,44,0.2,0,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T08:00:00,51.3,51.3,42.9,73,0,0,,0,0,32.1,19.4,190,999.3,19.8,8.9,204,0.7,2,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T09:00:00,52,52,42.9,71.13,0,0,,0,0,36.1,24.3,200,1000.1,99.3,8.5,144,0.5,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T10:00:00,53.7,53.7,44.4,70.63,0,0,,0,0,38,24.2,210,1000.3,99.3,11,162,0.6,2,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T11:00:00,55.3,55.3,47.4,74.84,0,0,,0,0,38.7,23.7,209,1001,73.5,9.8,541,1.9,5,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T12:00:00,57.6,57.6,44.4,61.26,0,0,,0,0,42.2,28.9,210,1001,83.5,12.9,218,0.8,2,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T13:00:00,57.9,57.9,45.3,62.8,0,0,,0,0,37.7,24.3,220,1001.2,90.5,11,663,2.4,7,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T14:00:00,59.1,59.1,44.5,58.39,0,0,,0,0,36.4,23.2,210,1001.1,90.5,12,164,0.6,2,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T15:00:00,59.1,59.1,47.8,66.17,0.004,100,rain,0,0,35.1,22.5,216,1001.1,91.1,12,199,0.7,2,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T16:00:00,58.6,58.6,48.1,67.98,0.016,100,rain,0,0,34.8,20.9,210,1001,99.3,14.8,139,0.5,1,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T17:00:00,58.2,58.2,48.5,70.17,0.027,100,rain,0,0,37,21.4,218,1001.1,60.9,12.9,137,0.5,1,,"Rain, Partially cloudy",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T18:00:00,58.5,58.5,46.7,64.63,0.002,100,rain,0,0,35.2,20.7,219,1001.1,99.3,12,54,0.2,1,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T19:00:00,56.9,56.9,47.9,71.65,0,0,,0,0,25.7,16.9,211,1001.3,95.5,11,14,0.1,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T20:00:00,55.2,55.2,46.7,73.17,0,0,,0,0,32,21.1,208,1001.4,88.5,15.7,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
hornsea,2024-04-07T21:00:00,53.9,53.9,48.1,80.75,0.004,100,rain,0,0,28.3,18.4,202,1002.3,89.8,10,0,0,0,,"Rain, Partially cloudy",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999,EGNJ"
